Date,Close
5/1/2017,146.58
5/2/2017,147.51
5/3/2017,147.06
5/4/2017,146.53
5/5/2017,148.96
5/8/2017,153.01
5/9/2017,153.99
5/10/2017,153.26
5/11/2017,153.95
5/12/2017,156.1
5/15/2017,155.7
5/16/2017,155.47
5/17/2017,150.25
5/18/2017,152.54
5/19/2017,153.06
5/22/2017,153.99
5/23/2017,153.8
5/24/2017,153.34
5/25/2017,153.87
5/26/2017,153.61
5/30/2017,153.67
5/31/2017,152.76
6/1/2017,153.18
6/2/2017,155.45
6/5/2017,153.93
6/6/2017,154.45
6/7/2017,155.37
6/8/2017,154.99
6/9/2017,148.98
6/12/2017,145.42
6/13/2017,146.59
6/14/2017,145.16
6/15/2017,144.29
6/16/2017,142.27
6/19/2017,146.34
6/20/2017,145.01
6/21/2017,145.87
6/22/2017,145.63
6/23/2017,146.28
6/26/2017,145.82
6/27/2017,143.73
6/28/2017,145.83
6/29/2017,143.68
6/30/2017,144.02
7/3/2017,143.5
7/5/2017,144.09
7/6/2017,142.73
7/7/2017,144.18
7/10/2017,145.06
7/11/2017,145.53
7/12/2017,145.74
7/13/2017,147.77
7/14/2017,149.04
7/17/2017,149.56
7/18/2017,150.08
7/19/2017,151.02
7/20/2017,150.34
7/21/2017,150.27
7/24/2017,152.09
7/25/2017,152.74
7/26/2017,153.46
7/27/2017,150.56
7/28/2017,149.5
7/31/2017,148.73
8/1/2017,150.05
8/2/2017,157.14
8/3/2017,155.57
8/4/2017,156.39
8/7/2017,158.81
8/8/2017,160.08
8/9/2017,161.06
8/10/2017,155.32
8/11/2017,157.48
8/14/2017,159.85
8/15/2017,161.6
8/16/2017,160.95
8/17/2017,157.86
8/18/2017,157.5
8/21/2017,157.21
8/22/2017,159.78
8/23/2017,159.98
8/24/2017,159.27
8/25/2017,159.86
8/28/2017,161.47
8/29/2017,162.91
8/30/2017,163.35
8/31/2017,164
9/1/2017,164.05
9/5/2017,162.08
9/6/2017,161.91
9/7/2017,161.26
9/8/2017,158.63
9/11/2017,161.5
9/12/2017,160.86
9/13/2017,159.65
9/14/2017,158.28
9/15/2017,159.88
9/18/2017,158.67
9/19/2017,158.73
9/20/2017,156.07
9/21/2017,153.39
9/22/2017,151.89
9/25/2017,150.55
9/26/2017,153.14
9/27/2017,154.23
9/28/2017,153.28
9/29/2017,154.12
10/2/2017,153.81
10/3/2017,154.48
10/4/2017,153.48
10/5/2017,155.39
10/6/2017,155.3
10/9/2017,155.84
10/10/2017,155.9
10/11/2017,156.55
10/12/2017,156
10/13/2017,156.99
10/16/2017,159.88
10/17/2017,160.47
10/18/2017,159.76
10/19/2017,155.98
10/20/2017,156.25
10/23/2017,156.17
10/24/2017,157.1
10/25/2017,156.41
10/26/2017,157.41
10/27/2017,163.05
10/30/2017,166.72
10/31/2017,169.04
11/1/2017,166.89
11/2/2017,168.11
11/3/2017,172.5
11/6/2017,174.25
11/7/2017,174.81
11/8/2017,176.24
11/9/2017,175.88
11/10/2017,174.67
11/13/2017,173.97
11/14/2017,171.34
11/15/2017,169.08
11/16/2017,171.1
11/17/2017,170.15
11/20/2017,169.98
11/21/2017,173.14
11/22/2017,174.96
11/24/2017,174.97
11/27/2017,174.09
11/28/2017,173.07
11/29/2017,169.48
11/30/2017,171.85
12/1/2017,171.05
12/4/2017,169.8
12/5/2017,169.64
12/6/2017,169.01
12/7/2017,169.32
12/8/2017,169.37
12/11/2017,172.67
12/12/2017,171.7
12/13/2017,172.27
12/14/2017,172.22
12/15/2017,173.97
12/18/2017,176.42
12/19/2017,174.54
12/20/2017,174.35
12/21/2017,175.01
12/22/2017,175.01
12/26/2017,170.57
12/27/2017,170.6
12/28/2017,171.08
12/29/2017,169.23
1/2/2018,172.26
1/3/2018,172.23
1/4/2018,173.03
1/5/2018,175
1/8/2018,174.35
1/9/2018,174.33
1/10/2018,174.29
1/11/2018,175.28
1/12/2018,177.09
1/16/2018,176.19
1/17/2018,179.1
1/18/2018,179.26
1/19/2018,178.46
1/22/2018,177
1/23/2018,177.04
1/24/2018,174.22
1/25/2018,171.11
1/26/2018,171.51
1/29/2018,167.96
1/30/2018,166.97
1/31/2018,167.43
2/1/2018,167.78
2/2/2018,160.5
2/5/2018,156.49
2/6/2018,163.03
2/7/2018,159.54
2/8/2018,155.15
2/9/2018,156.41
2/12/2018,162.71
2/13/2018,164.34
2/14/2018,167.37
2/15/2018,172.99
2/16/2018,172.43
2/20/2018,171.85
2/21/2018,171.07
2/22/2018,172.5
2/23/2018,175.5
2/26/2018,178.97
2/27/2018,178.39
2/28/2018,178.12
3/1/2018,175
3/2/2018,176.21
3/5/2018,176.82
3/6/2018,176.67
3/7/2018,175.03
3/8/2018,176.94
3/9/2018,179.98
3/12/2018,181.72
3/13/2018,179.97
3/14/2018,178.44
3/15/2018,178.65
3/16/2018,178.02
3/19/2018,175.3
3/20/2018,175.24
3/21/2018,171.27
3/22/2018,168.85
3/23/2018,164.94
3/26/2018,172.77
3/27/2018,168.34
3/28/2018,166.48
3/29/2018,167.78
4/2/2018,166.68
4/3/2018,168.39
4/4/2018,171.61
4/5/2018,172.8
4/6/2018,168.38
4/9/2018,170.05
4/10/2018,173.25
4/11/2018,172.44
4/12/2018,174.14
4/13/2018,174.73
4/16/2018,175.82
4/17/2018,178.24
4/18/2018,177.84
4/19/2018,172.8
4/20/2018,165.72
4/23/2018,165.24
4/24/2018,162.94
4/25/2018,163.65
4/26/2018,164.22
4/27/2018,162.32
4/30/2018,165.26
5/1/2018,169.1
5/2/2018,176.57
5/3/2018,176.89
5/4/2018,183.83
5/7/2018,185.16
5/8/2018,186.05
5/9/2018,187.36
5/10/2018,190.04
5/11/2018,188.59
5/14/2018,188.15
5/15/2018,186.44
5/16/2018,188.18
5/17/2018,186.99
5/18/2018,186.31
5/21/2018,187.63
5/22/2018,187.16
5/23/2018,188.36
5/24/2018,188.15
5/25/2018,188.58
5/29/2018,187.9
5/30/2018,187.5
5/31/2018,186.87
6/1/2018,190.24
6/4/2018,191.83
6/5/2018,193.31
6/6/2018,193.98
6/7/2018,193.46
6/8/2018,191.7
6/11/2018,191.23
6/12/2018,192.28
6/13/2018,190.7
6/14/2018,190.8
6/15/2018,188.84
6/18/2018,188.74
6/19/2018,185.69
6/20/2018,186.5
6/21/2018,185.46
6/22/2018,184.92
6/25/2018,182.17
6/26/2018,184.43
6/27/2018,184.16
6/28/2018,185.5
6/29/2018,185.11
7/2/2018,187.18
7/3/2018,183.92
7/5/2018,185.4
7/6/2018,187.97
7/9/2018,190.58
7/10/2018,190.35
7/11/2018,187.88
7/12/2018,191.03
7/13/2018,191.33
7/16/2018,190.91
7/17/2018,191.45
7/18/2018,190.4
7/19/2018,191.88
7/20/2018,191.44
7/23/2018,191.44
7/24/2018,193
7/25/2018,194.82
7/26/2018,194.21
7/27/2018,190.98
7/30/2018,189.91
7/31/2018,190.29
8/1/2018,201.5
8/2/2018,207.39
8/3/2018,207.99
8/6/2018,209.07
8/7/2018,207.11
8/8/2018,207.25
8/9/2018,208.88
8/10/2018,207.53
8/13/2018,208.87
8/14/2018,209.75
8/15/2018,210.24
8/16/2018,213.32
8/17/2018,217.58
8/20/2018,215.46
8/21/2018,215.04
8/22/2018,215.05
8/23/2018,215.49
8/24/2018,216.16
8/27/2018,217.94
8/28/2018,219.7
8/29/2018,222.98
8/30/2018,225.03
8/31/2018,227.63
9/4/2018,228.36
9/5/2018,226.87
9/6/2018,223.1
9/7/2018,221.3
9/10/2018,218.33
9/11/2018,223.85
9/12/2018,221.07
9/13/2018,226.41
9/14/2018,223.84
9/17/2018,217.88
9/18/2018,218.24
9/19/2018,218.37
9/20/2018,220.03
9/21/2018,217.66
9/24/2018,220.79
9/25/2018,222.19
9/26/2018,220.42
9/27/2018,224.95
9/28/2018,225.74
10/1/2018,227.26
10/2/2018,229.28
10/3/2018,232.07
10/4/2018,227.99
10/5/2018,224.29
10/8/2018,223.77
10/9/2018,226.87
10/10/2018,216.36
10/11/2018,214.45
10/12/2018,222.11
10/15/2018,217.36
10/16/2018,222.15
10/17/2018,221.19
10/18/2018,216.02
10/19/2018,219.31
10/22/2018,220.65
10/23/2018,222.73
10/24/2018,215.09
10/25/2018,219.8
10/26/2018,216.3
10/29/2018,212.24
10/30/2018,213.3
10/31/2018,218.86
11/1/2018,222.22
11/2/2018,207.48
11/5/2018,201.59
11/6/2018,203.77
11/7/2018,209.95
11/8/2018,208.49
11/9/2018,204.47
11/12/2018,194.17
11/13/2018,192.23
11/14/2018,186.8
11/15/2018,191.41
11/16/2018,193.53
11/19/2018,185.86
11/20/2018,176.98
11/21/2018,176.78
11/23/2018,172.29
11/26/2018,174.62
11/27/2018,174.24
11/28/2018,180.94
11/29/2018,179.55
11/30/2018,178.58
12/3/2018,184.82
12/4/2018,176.69
12/6/2018,174.72
12/7/2018,168.49
12/10/2018,169.6
12/11/2018,168.63
12/12/2018,169.1
12/13/2018,170.95
12/14/2018,165.48
12/17/2018,163.94
12/18/2018,166.07
12/19/2018,160.89
12/20/2018,156.83
12/21/2018,150.73
12/24/2018,146.83
12/26/2018,157.17
12/27/2018,156.15
12/28/2018,156.23
12/31/2018,157.74
1/2/2019,157.92
1/3/2019,142.19
1/4/2019,148.26
1/7/2019,147.93
1/8/2019,150.75
1/9/2019,153.31
1/10/2019,153.8
1/11/2019,152.29
1/14/2019,150
1/15/2019,153.07
1/16/2019,154.94
1/17/2019,155.86
1/18/2019,156.82
1/22/2019,153.3
1/23/2019,153.92
1/24/2019,152.7
1/25/2019,157.76
1/28/2019,156.3
1/29/2019,154.68
1/30/2019,165.25
1/31/2019,166.44
2/1/2019,166.52
2/4/2019,171.25
2/5/2019,174.18
2/6/2019,174.24
2/7/2019,170.94
2/8/2019,170.41
2/11/2019,169.43
2/12/2019,170.89
2/13/2019,170.18
2/14/2019,170.8
2/15/2019,170.42
2/19/2019,170.93
2/20/2019,172.03
2/21/2019,171.06
2/22/2019,172.97
2/25/2019,174.23
2/26/2019,174.33
2/27/2019,174.87
2/28/2019,173.15
3/1/2019,174.97
3/4/2019,175.85
3/5/2019,175.53
3/6/2019,174.52
3/7/2019,172.5
3/8/2019,172.91
3/11/2019,178.9
3/12/2019,180.91
3/13/2019,181.71
3/14/2019,183.73
3/15/2019,186.12
3/18/2019,188.02
3/19/2019,186.53
3/20/2019,188.16
3/21/2019,195.09
3/22/2019,191.05
3/25/2019,188.74
3/26/2019,186.79
3/27/2019,188.47
3/28/2019,188.72
3/29/2019,189.95
4/1/2019,191.24
4/2/2019,194.02
4/3/2019,195.35
4/4/2019,195.69
4/5/2019,197
4/8/2019,200.1
4/9/2019,199.5
4/10/2019,200.62
4/11/2019,198.95
